title,content_type,year,certificate,duration,genre,rating,votes
The Prince,Movie,2014,R,93,"Action, Thriller",4.6,18577
Caliphate,TV Show,2020,TV-MA,46,"Crime, Drama, Thriller",8.2,18555
The Rhythm Section,Movie,2020,R,109,"Action, Drama, Mystery",5.4,18549
First They Killed My Father,TV Show,2017,TV-MA,136,"Biography, Drama, History",7.1,18547
Jingle Jangle: A Christmas Journey,Movie,2020,PG,122,"Family, Fantasy, Musical",6.4,18518
Ascension,Unknown,2014,,231,"Drama, Sci-Fi",7.1,18516
Zeitgeist: Moving Forward,Movie,2011,Not Rated,161,Documentary,8.1,18472
Home Team,Movie,2022,PG,95,"Comedy, Sport",6.0,18459
Masum,TV Show,2017,TV-14,60,"Crime, Drama, Mystery",8.3,18448
Ricky Gervais: SuperNature,TV Show,2022,TV-MA,64,Comedy,7.6,18412
The Package,TV Show,2018,TV-MA,94,"Comedy, Thriller",5.5,18386
Ala Vaikunthapurramuloo,Movie,2020,Not Rated,163,"Action, Comedy, Drama",7.3,18386
Zeitgeist: Addendum,Movie,2008,Not Rated,123,"Documentary, History, War",8.2,18368
Happy as Lazzaro,Movie,2018,PG-13,128,"Drama, Fantasy, Mystery",7.5,18327
True Story,TV Show,2021,TV-MA,260,"Crime, Drama, Thriller",7.4,18325
Collateral,TV Show,2018,TV-MA,230,"Crime, Drama, Mystery",6.7,18307
"Re: Zero, Starting Life in Another World",TV Show,2016,TV-14,24,"Animation, Adventure, Drama",8.1,18302
Night Teeth,TV Show,2021,TV-14,107,"Action, Crime, Drama",5.6,18285
The SpongeBob Movie: Sponge on the Run,Movie,2020,PG,91,"Animation, Adventure, Comedy",5.9,18264
Raat Akeli Hai,TV Show,2020,TV-MA,149,"Crime, Drama, Mystery",7.2,18239
Breach,Movie,2020,R,92,"Action, Horror, Sci-Fi",2.9,18227
The Incredible Shrinking Man,Movie,1957,Not Rated,81,"Horror, Sci-Fi",7.6,18215
Dash & Lily,TV Show,2020,TV-14,,"Comedy, Drama, Romance",7.4,18198
Gurren Lagann,TV Show,2007,TV-14,24,"Animation, Action, Adventure",8.3,18195
A Classic Horror Story,TV Show,2021,TV-MA,95,"Drama, Horror, Mystery",5.7,18171
Girlboss,TV Show,2017,TV-MA,26,Comedy,7.0,18117
Blood of Zeus,TV Show,2020,TV-MA,30,"Animation, Action, Adventure",7.5,18056
Le chant du loup,TV Show,2019,TV-14,115,"Action, Thriller",6.9,18005
The Knight Before Christmas,TV Show,2019,TV-PG,92,"Adventure, Comedy, Drama",5.5,17998
Alex Strangelove,TV Show,2018,TV-MA,99,"Comedy, Drama, Romance",6.3,17989
Crime Scene: The Vanishing at the Cecil Hotel,TV Show,2021,TV-MA,220,"Documentary, Crime, Mystery",5.9,17958
Torbaaz,TV Show,2020,TV-MA,133,"Action, Drama, Sport",6.8,17926
Horse Girl,Movie,2020,R,103,"Drama, Mystery, Thriller",5.9,17923
The Last Letter from Your Lover,TV Show,2021,TV-MA,110,"Drama, Romance",6.7,17875
Blade of the Immortal,Movie,2017,R,140,"Action, Drama, Fantasy",6.7,17864
Badhaai Do,Unknown,2022,,147,"Comedy, Crime, Drama",7.1,17828
The Occupant,TV Show,2020,TV-MA,103,"Adventure, Drama, Horror",6.4,17750
Blue Jay,Movie,2016,Unrated,80,"Drama, Romance",7.2,17735
Ibiza,TV Show,2018,TV-MA,94,"Comedy, Romance",5.2,17721
The I-Land,TV Show,2019,TV-MA,281,"Adventure, Drama, Mystery",4.6,17707
Hot Girls Wanted,TV Show,2015,TV-MA,84,Documentary,6.1,17679
Next Gen,TV Show,2018,TV-PG,106,"Animation, Action, Adventure",6.6,17664
Inside Job,TV Show,2021,TV-MA,30,"Animation, Comedy, Fantasy",7.6,17662
Vincenzo,Movie,2021,Not Rated,80,"Action, Comedy, Crime",8.4,17647
Meenakshi Sundareshwar,TV Show,2021,TV-14,140,"Comedy, Romance",7.0,17592
"Love, Guaranteed",TV Show,2020,TV-PG,90,"Comedy, Romance",5.6,17543
Thumbelina,Movie,1994,G,86,"Animation, Adventure, Family",6.2,17338
Racing Stripes,Movie,2005,PG,102,"Adventure, Comedy, Drama",5.2,17338
Killer Inside: The Mind of Aaron Hernandez,TV Show,2020,TV-MA,202,"Documentary, Crime, Sport",7.4,17311
Undercover,TV Show,2019,TV-MA,50,"Crime, Drama, Thriller",7.8,17309
Ocean Waves,Movie,1993,PG-13,76,"Animation, Drama, Romance",6.6,17307
Sandy Wexler,TV Show,2017,TV-14,130,Comedy,5.2,17257
Dangerous Lies,TV Show,2020,TV-14,96,Thriller,5.3,17192
The Best of Enemies,Movie,2019,PG-13,133,"Biography, Drama, History",7.3,17179
Kodachrome,TV Show,2017,TV-MA,105,Drama,6.8,17174
The Bag Man,Movie,2014,R,108,"Action, Crime, Drama",5.2,17082
White Lines,TV Show,2020,TV-MA,60,"Crime, Drama, Mystery",6.6,17076
Intrusion,TV Show,2021,TV-14,92,"Drama, Thriller",5.2,17071
V/H/S Viral,Movie,2014,R,81,"Horror, Thriller",4.2,17014
The Kissing Booth 3,TV Show,2021,TV-14,112,"Comedy, Romance",4.7,16962
Newness,Movie,2017,Unrated,117,"Drama, Romance",6.3,16901
Afro Samurai,TV Show,2007,TV-MA,26,"Animation, Action, Adventure",7.6,16823
Journal 64,Movie,2018,Not Rated,119,"Crime, Mystery, Thriller",7.4,16759
The Chair,TV Show,2021,TV-MA,30,"Comedy, Drama",7.2,16734
Heartland,TV Show,2007,TV-PG,45,"Drama, Family",8.4,16702
The American Meme,TV Show,2018,TV-MA,98,Documentary,6.7,16669
Message from the King,Movie,2016,R,102,"Action, Crime, Drama",6.4,16665
If Anything Happens I Love You,Movie,2020,PG,13,"Animation, Short, Drama",7.8,16567
Seven Seconds,TV Show,2018,TV-MA,60,"Crime, Drama",7.7,16561
Gypsy,TV Show,2017,TV-MA,51,"Drama, Thriller",6.8,16552
New Kids Turbo,Unknown,2010,,84,"Action, Comedy",6.3,16407
A Futile and Stupid Gesture,TV Show,2018,TV-MA,101,"Biography, Comedy",6.7,16339
Darlings,TV Show,2022,TV-14,133,"Comedy, Drama, Thriller",6.6,16317
Frozen Fever,Movie,2015,G,8,"Animation, Short, Adventure",6.8,16300
Avengement,Movie,2019,Not Rated,87,"Action, Crime",6.5,16284
Hypnotic,TV Show,2021,TV-14,88,"Mystery, Thriller",5.3,16263
A United Kingdom,Movie,2016,PG-13,111,"Biography, Drama, History",6.9,16239
I Came By,TV Show,2022,TV-MA,110,Thriller,6.1,16230
The Kindergarten Teacher,Movie,2018,R,96,"Drama, Thriller",6.7,16198
I.T.,Movie,2016,Not Rated,95,"Crime, Drama, Mystery",5.5,16145
The Invisible Guardian,Unknown,2017,,129,"Crime, Thriller",6.4,16086
Flight 7500,Movie,2014,PG-13,80,"Drama, Horror, Sci-Fi",4.8,16082
There's Someone Inside Your House,TV Show,2021,TV-MA,96,"Horror, Mystery, Thriller",4.8,16059
Aftermath,TV Show,2021,TV-MA,114,"Drama, Horror, Mystery",5.3,16046
Descendants of the Sun,TV Show,2016,TV-14,60,"Action, Comedy, Drama",8.3,16031
Girl in the Picture,TV Show,2022,TV-MA,101,"Documentary, Crime, Mystery",7.2,16008
Doctor,Unknown,2021,,148,"Action, Comedy, Crime",7.5,15996
No One Gets Out Alive,Movie,2021,R,87,"Drama, Horror, Mystery",5.3,15996
Mirai,Movie,2018,PG,98,"Animation, Adventure, Drama",7.0,15916
Final Girl,Movie,2015,R,84,"Horror, Thriller",4.7,15916
OtherLife,TV Show,2017,TV-MA,96,"Crime, Drama, Mystery",6.2,15911
Blue Mountain State: The Rise of Thadland,Movie,2016,R,90,"Comedy, Sport",5.7,15853
Life Itself,Movie,2014,R,121,"Documentary, Biography",7.8,15763
Tokyo Revengers,TV Show,2021,TV-14,24,"Animation, Action, Drama",8.1,15752
Ashby,Movie,2015,R,100,"Comedy, Crime, Drama",6.4,15729
The Boys in the Band,Movie,2020,R,121,Drama,6.8,15722
Terrified,Movie,2017,Not Rated,87,Horror,6.4,15691
A Fall from Grace,TV Show,2020,TV-MA,120,Thriller,5.8,15613
A Very Murray Christmas,TV Show,2015,TV-MA,56,"Comedy, Music, Musical",5.5,15499
The Last Thing He Wanted,Movie,2020,R,115,"Crime, Drama, Thriller",4.3,15484
What/If,TV Show,2019,TV-14,55,"Drama, Thriller",6.3,15483
Brand New Cherry Flavor,TV Show,2021,TV-MA,342,"Drama, Horror, Mystery",7.1,15476
The Bookshop,Movie,2017,PG,113,Drama,6.5,15467
Marianne,TV Show,2019,TV-MA,50,"Drama, Horror, Mystery",7.4,15438
Single All the Way,TV Show,2021,TV-PG,99,"Comedy, Drama, Romance",6.1,15424
Cyberpunk: Edgerunners,TV Show,2022,TV-MA,24,"Animation, Action, Adventure",8.6,15413
Nothing to Hide,TV Show,2018,TV-MA,90,"Comedy, Drama",6.8,15405
Contracted,Movie,2013,Not Rated,84,"Drama, Horror, Thriller",5.3,15396
Holiday in the Wild,TV Show,2019,TV-PG,85,"Comedy, Drama, Romance",6.1,15348
Two Distant Strangers,Movie,2020,Not Rated,32,"Short, Drama, Sci-Fi",6.9,15331
Pyaar Ka Punchnama 2,Movie,2015,Not Rated,137,"Comedy, Drama, Romance",7.3,15310
The Hater,TV Show,2020,TV-MA,135,"Drama, Thriller",7.1,15306
The House,TV Show,2022,TV-MA,97,"Animation, Comedy, Drama",6.8,15290
The Irregulars,TV Show,2021,TV-14,,"Crime, Drama, Fantasy",5.9,15210
Bo Burnham: Make Happy,TV Show,2016,TV-MA,60,"Comedy, Music",8.3,15207
They Call Me Jeeg,Unknown,2015,,112,"Action, Comedy, Drama",7.0,15207
Act of Vengeance,Movie,2010,Not Rated,119,"Action, Drama",5.7,15163
Gantz: O,Unknown,2016,,95,"Animation, Action, Drama",7.1,15141
Black Lagoon,TV Show,2006,TV-MA,25,"Animation, Action, Adventure",7.9,15113
Another,TV Show,2012,TV-MA,300,"Animation, Drama, Horror",7.5,15033
Halston,TV Show,2021,TV-MA,240,"Biography, Drama",7.5,15020
We Can Be Heroes,Movie,2020,PG,100,"Action, Comedy, Drama",4.7,14971
Headshot,Movie,2016,Not Rated,118,"Action, Drama, Thriller",6.3,14960
Shimmer Lake,Movie,2017,Not Rated,86,"Action, Crime, Drama",6.3,14949
The English Game,TV Show,2020,TV-14,281,"Drama, History, Sport",7.6,14922
The Edge of Democracy,TV Show,2019,TV-14,121,"Documentary, History",7.3,14907
Rurouni Kenshin: Trust and Betrayal,TV Show,1999,TV-MA,118,"Animation, Action, Adventure",8.6,14840
Bobby Z,Movie,2007,R,97,"Action, Crime, Thriller",5.8,14817
Tell Me Who I Am,TV Show,2019,TV-MA,86,"Documentary, Drama, Mystery",7.6,14794
I Am the Pretty Thing That Lives in the House,Unknown,2016,,89,"Drama, Horror, Mystery",4.6,14773
Death to 2021,TV Show,2021,TV-MA,60,Comedy,6.3,14757
Bala,Movie,2019,Not Rated,133,Comedy,7.3,14730
Money Trap,Unknown,2019,,121,"Comedy, Drama",6.0,14723
The Defiant Ones,TV Show,2017,TV-MA,60,"Documentary, Biography, Crime",8.5,14696
Earthquake Bird,Movie,2019,R,107,"Crime, Drama, Mystery",5.9,14672
Bruised,Movie,2020,R,129,"Drama, Sport",6.2,14652
Parallels,Movie,2015,Not Rated,83,"Action, Sci-Fi",6.0,14649
Berlin Calling,Unknown,2008,,109,"Comedy, Drama, Music",7.2,14646
Spinning Out,TV Show,2020,TV-MA,48,"Drama, Sport",7.6,14613
I Am Not an Easy Man,Unknown,2018,,98,Comedy,6.3,14604
The Girl on the Train,TV Show,2021,TV-MA,120,"Crime, Drama, Mystery",4.4,14592
Girl,Movie,2018,R,105,Drama,7.1,14561
Slasher,Movie,2016,Not Rated,60,"Crime, Drama, Horror",6.7,14543
Worth,Movie,2020,PG-13,118,"Biography, Drama, History",6.8,14516
Point Blank,TV Show,2019,TV-MA,86,"Action, Crime, Drama",5.7,14514
Passing,Movie,2021,PG-13,98,Drama,6.7,14513
Swiped,TV Show,2018,TV-14,93,"Comedy, Romance",3.1,14400
Murdoch Mysteries,TV Show,2008,TV-PG,48,"Crime, Drama, Mystery",8.2,14381
Ergo Proxy,TV Show,2006,TV-14,25,"Animation, Action, Adventure",7.9,14379
Madaari,Movie,2016,Not Rated,133,"Drama, Thriller",7.6,14377
Down a Dark Hall,Movie,2018,PG-13,96,"Drama, Fantasy, Horror",5.0,14368
AK vs AK,TV Show,2020,TV-MA,108,"Action, Comedy, Crime",6.9,14362
Look Both Ways,TV Show,2022,TV-14,110,"Comedy, Drama, Romance",6.3,14313
Giri/Haji,TV Show,2019,TV-MA,461,"Crime, Drama, Mystery",7.8,14301
The Life Ahead,Movie,2020,PG-13,94,Drama,6.8,14298
Neon Genesis Evangelion: Death & Rebirth,Movie,1997,Not Rated,101,"Animation, Action, Drama",7.3,14298
My Neighbors the Yamadas,Movie,1999,PG,104,"Animation, Comedy, Family",7.1,14293
The Angel,TV Show,2018,TV-MA,114,"Action, Biography, Drama",6.6,14291
Don't Listen,TV Show,2020,TV-MA,97,"Adventure, Drama, Horror",6.1,14263
Malevolent,TV Show,2018,TV-MA,89,"Horror, Mystery, Thriller",4.8,14116
Troy: Fall of a City,TV Show,2018,TV-MA,60,"Action, Adventure, Fantasy",3.9,14059
Ghoul,TV Show,2018,TV-MA,45,"Drama, Fantasy, Horror",7.0,14055
Paddleton,TV Show,2019,TV-MA,89,"Comedy, Drama",7.1,13991
Clusterf**k: Woodstock '99,TV Show,2022,TV-MA,142,"Documentary, History, Music",7.4,13986
V-Wars,TV Show,2019,TV-MA,60,"Drama, Horror, Sci-Fi",6.0,13974
"What Happened, Miss Simone?",Movie,2015,Not Rated,101,"Documentary, Biography, Music",7.6,13970
Soaked in Bleach,Movie,2015,Not Rated,90,"Documentary, Crime",7.3,13808
La Mante,Unknown,2017,,52,"Crime, Drama, Thriller",7.4,13802
A Shaun the Sheep Movie: Farmageddon,Movie,2019,G,86,"Animation, Adventure, Comedy",6.8,13797
Limonata,Unknown,2015,,110,"Comedy, Drama",7.4,13794
Katla,TV Show,2021,TV-MA,,"Drama, Mystery, Sci-Fi",7.0,13775
Coffee & Kareem,TV Show,2020,TV-MA,88,"Action, Comedy, Crime",5.1,13753
Uncoupled,TV Show,2022,TV-MA,30,"Comedy, Drama, Romance",7.0,13745
Claymore,TV Show,2007,TV-MA,24,"Animation, Action, Adventure",8.0,13743
Our Souls at Night,TV Show,2017,TV-14,103,"Drama, Romance",6.9,13656
Return to Sender,Movie,2015,Not Rated,92,"Drama, Thriller",5.1,13648
The Devil Next Door,TV Show,2019,TV-MA,229,"Documentary, Crime, History",7.6,13589
Mark Felt: The Man Who Brought Down the White House,Movie,2017,PG-13,103,"Biography, Drama, History",6.4,13586
Work It,TV Show,2020,TV-14,93,"Comedy, Music",6.1,13574
Itaewon Class,TV Show,2020,TV-MA,70,"Drama, Romance",8.2,13538
Red Dot,TV Show,2021,TV-MA,86,"Drama, Horror, Thriller",5.5,13476
Do Revenge,TV Show,2022,TV-MA,118,Comedy,6.4,13457
Highschool of the Dead,TV Show,2010,TV-MA,24,"Animation, Action, Drama",7.2,13405
Nightflyers,TV Show,2018,TV-14,60,"Drama, Horror, Mystery",5.8,13355
Copenhagen,Movie,2014,Not Rated,98,"Adventure, Drama, Romance",7.0,13318
The Last Summer,TV Show,2019,TV-14,109,"Comedy, Romance",5.5,13313
Kaguya-sama: Love is War,TV Show,2019,TV-14,24,"Animation, Comedy, Romance",8.6,13237
You Get Me,TV Show,2017,TV-MA,89,"Crime, Drama, Romance",4.7,13225
Incir Reçeli,Unknown,2011,,94,"Drama, Romance",6.5,13222
Wu Assassins,TV Show,2019,TV-MA,44,"Action, Crime, Drama",6.4,13186
When Calls the Heart,TV Show,2014,TV-G,43,"Drama, History, Romance",7.9,13133
Te3n,Unknown,2016,,136,"Drama, Mystery, Thriller",7.2,13124
Bard of Blood,TV Show,2019,TV-MA,45,"Action, Adventure, Drama",6.8,13114
The Starling,Movie,2021,PG-13,102,"Comedy, Drama",6.3,13097
Last Man Down,Movie,2021,R,87,"Action, Sci-Fi",4.3,13092
The Rising of the Shield Hero,TV Show,2019,TV-14,24,"Animation, Action, Adventure",8.0,13071
Gaga: Five Foot Two,TV Show,2017,TV-MA,100,"Documentary, Music",7.0,13068
Howl,Movie,2010,R,84,"Biography, Drama, Romance",6.6,13067
To the Lake,TV Show,2019,TV-MA,48,"Drama, Sci-Fi, Thriller",7.2,13051
System Crasher,Unknown,2019,,125,Drama,7.8,13039
Beyond a Reasonable Doubt,Movie,2009,PG-13,106,"Crime, Drama, Mystery",5.8,13020
Final Score,Movie,2018,R,104,"Action, Drama, Thriller",5.8,12973
Winter in Wartime,Movie,2008,R,103,"Drama, History, War",7.0,12952
Olaf's Frozen Adventure,Movie,2017,G,22,"Animation, Short, Adventure",5.6,12912
Joshua,Movie,2007,R,106,"Drama, Horror, Thriller",5.8,12896
Mindhorn,TV Show,2016,TV-MA,89,"Comedy, Thriller",6.3,12866
What Did Jack Do?,TV Show,2017,TV-14,17,"Short, Comedy, Crime",6.4,12837
Dogs of Berlin,TV Show,2018,TV-MA,542,"Action, Crime, Drama",7.5,12808
Berserk: The Golden Age Arc I - The Egg of the King,TV Show,2012,TV-MA,76,"Animation, Action, Adventure",7.5,12797
I Think You Should Leave with Tim Robinson,TV Show,2019,TV-MA,16,Comedy,7.9,12743
The One,TV Show,2021,TV-MA,,"Crime, Drama, Sci-Fi",6.6,12738
Bon Cop Bad Cop,Movie,2006,R,117,"Action, Comedy, Crime",6.7,12733
Then Came You,Movie,2018,Not Rated,97,"Adventure, Comedy, Drama",6.9,12727
The Paramedic,TV Show,2020,TV-MA,94,"Adventure, Crime, Drama",5.7,12685
6 Years,Movie,2015,Not Rated,79,"Drama, Romance",5.5,12684
Comedians in Cars Getting Coffee,TV Show,2012,TV-14,20,"Comedy, Family, Talk-Show",8.0,12681
The Age of Spin: Dave Chappelle Live at the Hollywood Palladium,TV Show,2017,TV-MA,67,Comedy,8.1,12653
Knock Down the House,Movie,2019,PG,87,Documentary,7.2,12582
Dave Chappelle: Equanimity,TV Show,2017,TV-MA,60,Comedy,8.1,12553
Below Her Mouth,Movie,2016,Not Rated,94,"Drama, Romance",5.5,12539
Hannah Gadsby: Nanette,TV Show,2018,TV-MA,69,"Documentary, Comedy",8.1,12529
T-34,TV Show,2018,TV-14,139,"Action, War",6.7,12522
Too Hot to Handle,TV Show,2020,TV-MA,40,"Game-Show, Reality-TV, Romance",4.7,12484
Acts of Violence,Movie,2018,R,86,"Action, Crime, Thriller",5.3,12447
Harlock: Space Pirate,Movie,2013,Not Rated,115,"Animation, Adventure, Sci-Fi",6.4,12410
Forks Over Knives,Movie,2011,PG,90,Documentary,7.7,12354
The Quake,Movie,2018,PG-13,106,"Action, Drama, Thriller",6.2,12293
Etharkkum Thunindhavan,Unknown,2022,,151,"Action, Crime, Drama",6.5,12290
Good on Paper,Movie,2021,Unrated,92,"Comedy, Romance",5.6,12284
Tribes of Europa,TV Show,2021,TV-MA,,"Action, Adventure, Drama",6.7,12284
What's Wrong with Secretary Kim,TV Show,2018,TV-G,60,"Comedy, Mystery, Romance",8.1,12281
The Life and Movies of Erşan Kuneri,TV Show,2022,TV-MA,45,Comedy,6.7,12247
Paper Lives,TV Show,2021,TV-MA,96,Drama,6.6,12227
Major Grom: Plague Doctor,TV Show,2021,TV-14,136,"Action, Crime",6.3,12216
Deadly Illusions,Movie,2021,R,114,"Drama, Thriller",3.7,12204
Water Lilies,Unknown,2007,,85,"Drama, Romance",6.7,12149
The Fury of a Patient Man,TV Show,2016,TV-MA,92,"Crime, Drama, Thriller",6.7,12125
Brazen,TV Show,2022,TV-14,94,"Crime, Drama, Mystery",4.1,12120
A Castle for Christmas,TV Show,2021,TV-G,98,"Adventure, Comedy, Drama",5.5,12085
Hometown Cha-Cha-Cha,TV Show,2021,TV-14,70,"Comedy, Romance",8.4,12059
Bulbbul,TV Show,2020,TV-MA,94,"Drama, Horror, Mystery",6.5,12049
Bo Burnham: what.,TV Show,2013,TV-MA,60,"Comedy, Music",8.3,12046
Day of the Dead: Bloodline,Movie,2017,R,90,"Action, Drama, Horror",3.4,12043
Fed Up,Movie,2014,PG,92,Documentary,7.7,12028
Murderville,TV Show,2022,TV-MA,33,"Comedy, Crime, Mystery",6.8,12015
Self Made: Inspired by the Life of Madam C.J. Walker,TV Show,2020,TV-MA,191,"Biography, Drama, History",7.3,12015
Wonder Park,Movie,2019,PG,85,"Animation, Adventure, Comedy",5.8,12001
Romeo & Juliet,Movie,2013,PG-13,118,"Drama, Romance",5.7,11991
Errementari,TV Show,2017,TV-MA,98,"Adventure, Fantasy, Horror",6.4,11964
Teenage Bounty Hunters,TV Show,2020,TV-MA,50,"Comedy, Crime, Drama",7.6,11916
The Returned,TV Show,2015,TV-14,42,"Drama, Fantasy, Horror",7.0,11908
Geronimo: An American Legend,Movie,1993,PG-13,115,"Drama, History, Western",6.5,11903
Nobody Sleeps in the Woods Tonight,TV Show,2020,TV-MA,102,"Fantasy, Horror, Mystery",4.9,11895
Palm Trees in the Snow,Unknown,2015,,163,"Drama, Romance",7.3,11891
Freud,TV Show,2020,TV-MA,55,"Crime, Thriller",6.5,11883
Toy Story That Time Forgot,TV Show,2014,TV-G,22,"Animation, Short, Adventure",7.1,11872
XX,Movie,2017,R,80,Horror,4.6,11864
Jagame Thandhiram,TV Show,2021,TV-MA,158,"Action, Crime, Drama",5.8,11860
Christmas Inheritance,Unknown,2017,,104,"Comedy, Drama, Romance",5.7,11805
Rust Creek,Movie,2018,R,108,"Crime, Drama, Thriller",5.9,11778
Houdini,TV Show,2014,TV-14,174,"Biography, Drama",7.3,11768
Bleach,TV Show,2018,TV-14,108,"Action, Adventure, Fantasy",6.3,11766
Remember Sunday,TV Show,2013,TV-PG,96,"Drama, Romance",6.9,11760
Rascal Does Not Dream of Bunny Girl Senpai,TV Show,2018,TV-PG,24,"Animation, Drama, Fantasy",8.1,11696
The Trials of Gabriel Fernandez,TV Show,2020,TV-MA,331,"Documentary, Crime",8.1,11687
Anima,Unknown,2019,,15,"Short, Music",7.6,11677
Father of the Year,TV Show,2018,TV-14,94,Comedy,5.2,11676
Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,TV Show,2017,TV-MA,66,Comedy,7.9,11654
Young Wallander,TV Show,2020,TV-MA,,"Crime, Drama, Mystery",6.9,11645
A Perfect Pairing,TV Show,2022,TV-14,101,"Comedy, Romance",6.1,11632
The Last Days of American Crime,TV Show,2020,TV-MA,148,"Action, Crime, Drama",3.7,11605
Flaked,TV Show,2016,TV-MA,30,"Comedy, Drama, Romance",7.2,11580
The Princess Switch: Switched Again,TV Show,2020,TV-G,96,"Comedy, Drama, Family",5.4,11579
Operation Christmas Drop,TV Show,2020,TV-G,95,"Comedy, Family, Romance",5.8,11578
Virunga,Movie,2014,Not Rated,100,"Documentary, War",8.2,11569
The King: Eternal Monarch,TV Show,2020,TV-14,70,"Fantasy, Mystery, Romance",8.1,11564
Other People,Movie,2016,Unrated,97,"Comedy, Drama",6.8,11552
Small Town Crime,Movie,2017,R,91,"Crime, Mystery, Thriller",6.6,11538
Triple Threat,Movie,2019,R,96,"Action, Thriller",5.6,11511
Black Spot,TV Show,2017,TV-MA,52,"Crime, Drama, Horror",7.4,11502
Feel the Beat,TV Show,2020,TV-G,109,"Comedy, Drama, Family",6.3,11438
Miss Bala,Movie,2019,PG-13,104,"Action, Crime, Drama",5.8,11438
Incantation,TV Show,2022,TV-MA,110,"Horror, Mystery",6.2,11424
Our Father,TV Show,2022,TV-MA,97,"Documentary, Crime",6.5,11422
Otherhood,Movie,2019,R,100,Comedy,6.1,11393
Bill Burr: Paper Tiger,TV Show,2019,TV-MA,67,Comedy,8.1,11373
Force of Nature,Movie,2020,R,91,"Crime, Drama, Thriller",4.5,11369
The Courier,Movie,2019,R,99,"Action, Crime, Drama",4.8,11368
Miraculous: Tales of Ladybug & Cat Noir,TV Show,2015,TV-Y7,20,"Animation, Action, Adventure",7.6,11332
Keep Sweet: Pray and Obey,TV Show,2022,TV-MA,192,"Documentary, Crime",7.3,11304
Jackass 4.5,TV Show,2022,TV-MA,90,"Action, Comedy, Reality-TV",6.5,11266
October Faction,TV Show,2020,TV-MA,39,"Adventure, Drama, Fantasy",6.1,11210
Athlete A,Movie,2020,PG-13,103,"Documentary, Crime, Sport",7.6,11138
The House of Small Cubes,Unknown,2008,,12,"Animation, Short, Drama",8.2,11086
Ferry,TV Show,2021,TV-MA,106,"Action, Crime, Drama",7.0,11080
Marco Polo: One Hundred Eyes,Unknown,2015,,28,"Action, Drama, History",7.7,11027
Inside Bill's Brain: Decoding Bill Gates,TV Show,2019,TV-14,52,Documentary,7.8,11017
Lust Stories,Unknown,2018,,120,"Drama, Romance",6.4,11004
Skyggen i mit øje,TV Show,2021,TV-MA,107,"Drama, History, War",7.3,10999
The Coldest Game,TV Show,2019,TV-MA,102,"History, Sport, Thriller",6.2,10990
S.W.A.T.: Firefight,Movie,2011,R,89,"Action, Crime, Thriller",5.3,10990
White Girl,TV Show,2016,TV-MA,88,"Crime, Drama",5.7,10974
Downfall: The Case Against Boeing,Movie,2022,PG-13,89,Documentary,7.4,10970
The Photographer of Mauthausen,TV Show,2018,TV-MA,110,"Biography, Drama, History",6.7,10950
Heirs,Unknown,2013,,55,"Comedy, Drama, Romance",7.5,10906
See You Yesterday,TV Show,2019,TV-MA,84,"Action, Adventure, Crime",5.2,10895
Sweet Virginia,Movie,2017,R,93,"Action, Drama, Thriller",6.2,10866
The Disappearance of Madeleine McCann,TV Show,2019,TV-14,60,"Documentary, Crime, Mystery",6.6,10833
Elephant White,Movie,2011,R,91,"Action, Crime, Thriller",5.0,10831
Car Masters: Rust to Riches,TV Show,2018,TV-PG,40,Reality-TV,8.4,10809
A Christmas Prince: The Royal Wedding,TV Show,2018,TV-PG,92,"Drama, Romance",5.3,10805
Malang,Movie,2020,Not Rated,135,"Action, Crime, Drama",6.5,10775
Hilda,TV Show,2018,TV-Y7,24,"Animation, Adventure, Comedy",8.5,10730
Deadman Wonderland,TV Show,2011,TV-MA,24,"Animation, Action, Drama",7.1,10728
Berserk: The Golden Age Arc II - The Battle for Doldrey,TV Show,2012,TV-MA,95,"Animation, Action, Adventure",7.7,10720
We Summon the Darkness,Movie,2019,R,91,"Horror, Music, Thriller",5.2,10714
Wasp Network,TV Show,2019,TV-MA,127,"Crime, Drama, Thriller",5.9,10711
The Polka King,TV Show,2017,TV-14,95,"Biography, Comedy, Drama",5.9,10710
Resident Evil: Infinite Darkness,TV Show,2021,TV-MA,26,"Animation, Action, Horror",5.7,10700
Killerman,Movie,2019,R,112,"Action, Crime, Thriller",5.4,10666
The Forest,TV Show,2017,TV-MA,313,"Crime, Drama",7.2,10638
Stuck Apart,TV Show,2021,TV-MA,96,"Comedy, Drama",6.0,10611
The Sleepover,TV Show,2020,TV-PG,100,"Action, Adventure, Comedy",5.6,10604
House of Secrets: The Burari Deaths,TV Show,2021,TV-MA,135,"Documentary, Crime, History",7.4,10573
W,Unknown,2016,,60,"Action, Comedy, Drama",8.1,10534
Dügün Dernek 2: Sünnet,Unknown,2015,,112,Comedy,6.3,10507
Tabula Rasa,TV Show,2017,TV-MA,60,"Drama, Horror, Thriller",8.0,10500
The Stronghold,TV Show,2020,TV-MA,105,"Action, Crime, Thriller",6.9,10474
Penguin Bloom,TV Show,2020,TV-14,95,"Biography, Drama",6.8,10454
Desperados,TV Show,2020,TV-MA,105,"Comedy, Romance",5.2,10436
Bullet Head,Movie,2017,R,93,"Crime, Drama, Thriller",5.4,10383
