title,content_type,year,certificate,duration,genre,rating,votes
Moonlight,Movie,2016,R,111,Drama,7.4,305932
The Dictator,Movie,2012,R,83,Comedy,6.4,305686
Marriage Story,Movie,2019,R,137,"Drama, Romance",7.9,303984
Grey's Anatomy,TV Show,2005,TV-14,41,"Drama, Romance",7.6,303617
Contagion,Movie,2011,PG-13,106,"Drama, Thriller",6.8,303276
Public Enemies,Movie,2009,R,140,"Action, Biography, Crime",7.0,302797
300: Rise of an Empire,Movie,2014,R,102,"Action, Drama",6.2,300895
Zero Dark Thirty,Movie,2012,R,157,"Drama, History, Thriller",7.4,299829
As Good as It Gets,Movie,1997,PG-13,139,"Comedy, Drama, Romance",7.7,298034
Step Brothers,Movie,2008,R,98,Comedy,6.9,294349
Lawrence of Arabia,Movie,1962,Approved,218,"Adventure, Biography, Drama",8.3,292337
Now You See Me 2,Movie,2016,PG-13,129,"Action, Adventure, Comedy",6.4,287484
Lone Survivor,Movie,2013,R,121,"Action, Biography, Drama",7.5,287213
The Holiday,Movie,2006,PG-13,136,"Comedy, Romance",6.9,284199
Hachi: A Dog's Tale,Movie,2009,G,93,"Biography, Drama, Family",8.1,283263
Uncut Gems,Movie,2019,R,135,"Crime, Drama, Thriller",7.4,277507
Grease,Movie,1978,PG,110,"Comedy, Musical, Romance",7.2,275313
Contact,Movie,1997,PG,150,"Drama, Mystery, Sci-Fi",7.5,274308
Finding Dory,Movie,2016,PG,97,"Animation, Adventure, Comedy",7.3,274280
Sex Education,TV Show,2019,TV-MA,45,"Comedy, Drama",8.4,273671
Don't Breathe,Movie,2016,R,88,"Crime, Horror, Thriller",7.1,272361
Red Notice,Movie,2021,PG-13,118,"Action, Comedy, Thriller",6.3,270232
Rango,Movie,2011,PG,107,"Animation, Action, Adventure",7.2,264146
Your Name.,Movie,2016,PG,106,"Animation, Drama, Fantasy",8.4,262352
Unknown,Movie,2011,PG-13,113,"Action, Mystery, Thriller",6.8,261643
The A-Team,Movie,2010,PG-13,117,"Action, Adventure, Thriller",6.7,258955
Noah,Movie,2014,PG-13,138,"Action, Adventure, Drama",5.8,255168
Total Recall,Movie,2012,PG-13,118,"Action, Adventure, Sci-Fi",6.2,254640
Wind River,Movie,2017,R,107,"Crime, Drama, Mystery",7.7,249800
Jumanji: The Next Level,Movie,2019,PG-13,123,"Action, Adventure, Comedy",6.7,246668
The Blacklist,TV Show,2013,TV-14,43,"Crime, Drama, Mystery",8.0,245591
El Camino: A Breaking Bad Movie,TV Show,2019,TV-MA,122,"Action, Crime, Drama",7.3,243473
The Tourist,Movie,2010,PG-13,103,"Action, Thriller",6.0,243244
Escape Plan,Movie,2013,R,115,"Action, Thriller",6.7,242838
Ender's Game,Movie,2013,PG-13,114,"Action, Adventure, Sci-Fi",6.6,240470
The Haunting of Hill House,TV Show,2018,TV-MA,572,"Drama, Horror, Mystery",8.6,237198
Southpaw,Movie,2015,R,124,"Action, Crime, Drama",7.3,236533
You,TV Show,2018,TV-MA,45,"Crime, Drama, Romance",7.7,234218
The Fate of the Furious,Movie,2017,PG-13,136,"Action, Crime, Thriller",6.6,231142
The Hitman's Bodyguard,Movie,2017,R,118,"Action, Comedy, Crime",6.9,230164
Hell or High Water,Movie,2016,R,102,"Crime, Drama, Thriller",7.6,229943
Mars Attacks!,Movie,1996,PG-13,106,"Comedy, Sci-Fi",6.4,227173
Mother!,Movie,2017,R,121,"Drama, Horror, Mystery",6.6,224398
The Impossible,Movie,2012,PG-13,114,"Adventure, Drama, History",7.5,223356
White House Down,Movie,2013,PG-13,131,"Action, Drama, Thriller",6.3,221953
The Platform,TV Show,2019,TV-MA,94,"Horror, Sci-Fi, Thriller",7.0,219327
The Ugly Truth,Movie,2009,R,96,"Comedy, Romance",6.4,219132
Ocean's Eight,Movie,2018,PG-13,110,"Action, Comedy, Crime",6.3,217713
Legally Blonde,Movie,2001,PG-13,96,"Comedy, Romance",6.4,216974
Ghost,Movie,1990,PG-13,127,"Drama, Fantasy, Romance",7.1,216532
King Arthur: Legend of the Sword,Movie,2017,PG-13,126,"Action, Adventure, Drama",6.7,216416
Clueless,Movie,1995,PG-13,97,"Comedy, Romance",6.9,216233
Rosemary's Baby,Movie,1968,Approved,137,"Drama, Horror",8.0,215114
The Croods,Movie,2013,PG,98,"Animation, Adventure, Comedy",7.2,214351
A Walk to Remember,Movie,2002,PG,101,"Drama, Romance",7.3,211211
Project X,Movie,2012,R,88,Comedy,6.6,210083
Oz the Great and Powerful,Movie,2013,PG,130,"Adventure, Family, Fantasy",6.3,208176
Bad Teacher,Movie,2011,R,92,"Comedy, Romance",5.6,203437
The Emperor's New Groove,Movie,2000,G,78,"Animation, Adventure, Comedy",7.4,203092
Blue Jasmine,Movie,2013,PG-13,98,"Comedy, Drama",7.3,202975
The Secret Life of Pets,Movie,2016,PG,87,"Animation, Adventure, Comedy",6.5,201790
Willy Wonka & the Chocolate Factory,Movie,1971,G,100,"Family, Fantasy, Musical",7.8,200703
Extraction,Movie,2020,R,116,"Action, Thriller",6.7,200239
The Crown,TV Show,2016,TV-MA,58,"Biography, Drama, History",8.7,199885
The Blues Brothers,Movie,1980,R,133,"Action, Adventure, Comedy",7.9,199019
The Next Three Days,Movie,2010,PG-13,133,"Action, Crime, Drama",7.3,197126
Arcane,TV Show,2021,TV-14,41,"Animation, Action, Adventure",9.0,196697
Waterworld,Movie,1995,PG-13,177,"Action, Adventure, Sci-Fi",6.2,196460
Sausage Party,Movie,2016,R,89,"Animation, Adventure, Comedy",6.1,194159
Robin Hood: Prince of Thieves,Movie,1991,PG-13,143,"Action, Adventure, Drama",6.9,193725
Atomic Blonde,Movie,2017,R,115,"Action, Thriller",6.7,193383
The Adam Project,Movie,2022,PG-13,106,"Action, Adventure, Comedy",6.7,193255
Taken 3,Movie,2014,PG-13,108,"Action, Crime, Thriller",6.0,192711
Lilo & Stitch,Movie,2002,PG,85,"Animation, Adventure, Comedy",7.3,190010
The Mummy,Movie,2017,PG-13,110,"Action, Adventure, Fantasy",5.4,189542
Bright,TV Show,2017,TV-MA,117,"Action, Fantasy, Thriller",6.3,188766
Eagle Eye,Movie,2008,PG-13,118,"Action, Mystery, Thriller",6.6,187292
This Means War,Movie,2012,PG-13,103,"Action, Comedy, Romance",6.3,186896
A Knight's Tale,Movie,2001,PG-13,132,"Action, Adventure, Romance",6.9,186888
Desperado,Movie,1995,R,104,"Action, Crime, Thriller",7.1,186134
Baywatch,Movie,2017,R,116,"Action, Comedy, Crime",5.5,185920
The Danish Girl,Movie,2015,R,119,"Biography, Drama, Romance",7.1,185277
The Karate Kid,Movie,2010,PG,140,"Action, Drama, Family",6.2,183166
Breakfast at Tiffany's,Movie,1961,Approved,115,"Comedy, Drama, Romance",7.6,180040
Planet of the Apes,Movie,1968,G,112,"Adventure, Sci-Fi",8.0,179986
Cobra Kai,TV Show,2018,TV-14,30,"Action, Comedy, Drama",8.5,177031
The Promise,Movie,2016,PG-13,133,"Action, Adventure, Drama",6.0,176299
The Trial of the Chicago 7,Movie,2020,R,129,"Drama, History, Thriller",7.7,175568
6 Underground,Movie,2019,R,128,"Action, Thriller",6.1,174852
The Invisible Guest,TV Show,2016,TV-MA,106,"Crime, Drama, Mystery",8.0,174610
The Gray Man,Movie,2022,PG-13,122,"Action, Thriller",6.5,172136
Army of the Dead,Movie,2021,R,148,"Action, Crime, Horror",5.7,171262
The Day the Earth Stood Still,Movie,2008,PG-13,104,"Adventure, Drama, Sci-Fi",5.5,171003
Insidious: Chapter 2,Movie,2013,PG-13,106,"Horror, Mystery, Thriller",6.5,170491
The Power of the Dog,Movie,2021,R,126,"Drama, Romance, Western",6.8,169764
Enola Holmes,Movie,2020,PG-13,123,"Action, Adventure, Crime",6.6,169720
Nausicaä of the Valley of the Wind,Movie,1984,PG,117,"Animation, Adventure, Sci-Fi",8.0,168797
Deepwater Horizon,Movie,2016,PG-13,107,"Action, Drama, History",7.1,168678
Rampage,Movie,2018,PG-13,107,"Action, Adventure, Sci-Fi",6.1,167170
Castle in the Sky,Movie,1986,PG,125,"Animation, Adventure, Family",8.0,165884
"Love, Death & Robots",TV Show,2019,TV-MA,15,"Animation, Short, Action",8.4,165153
The Ghost Writer,Movie,2010,PG-13,128,"Crime, Drama, Mystery",7.2,164272
The Old Guard,Movie,2020,R,125,"Action, Thriller",6.6,162921
Once Upon a Time in Mexico,Movie,2003,R,102,"Action, Crime, Thriller",6.3,162527
Outlander,TV Show,2014,TV-MA,60,"Drama, Fantasy, Romance",8.4,158268
Kung Fu Panda 3,Movie,2016,PG,95,"Animation, Action, Adventure",7.1,158187
Roma,Movie,2018,R,135,Drama,7.7,157396
Begin Again,Movie,2013,R,104,"Comedy, Drama, Music",7.4,156482
Archer,TV Show,2009,TV-MA,22,"Animation, Action, Comedy",8.6,153880
The Post,Movie,2017,PG-13,116,"Biography, Drama, History",7.2,150823
The Founder,Movie,2016,PG-13,115,"Biography, Drama",7.2,150116
Locke,Movie,2013,R,85,Drama,7.1,150008
Sicario: Day of the Soldado,Movie,2018,R,122,"Action, Adventure, Crime",7.1,147136
Klaus,Movie,2019,PG,96,"Animation, Adventure, Comedy",8.1,146975
The Ballad of Buster Scruggs,Movie,2018,R,133,"Comedy, Drama, Musical",7.3,146391
NCIS,TV Show,2003,TV-14,60,"Action, Crime, Drama",7.8,145895
Smokin' Aces,Movie,2006,R,108,"Action, Comedy, Crime",6.6,145893
Pixels,Movie,2015,PG-13,105,"Action, Comedy, Fantasy",5.6,144672
Riverdale,TV Show,2017,TV-14,45,"Crime, Drama, Mystery",6.6,143861
Kiki's Delivery Service,Movie,1989,G,103,"Animation, Adventure, Family",7.8,143858
Ponyo,Movie,2008,G,101,"Animation, Adventure, Comedy",7.6,143199
Brooklyn,Movie,2015,PG-13,117,"Drama, Romance",7.5,142184
Awakenings,Movie,1990,PG-13,121,"Biography, Drama",7.8,141037
The Last Stand,Movie,2013,R,107,"Action, Thriller, Western",6.3,139326
In the Heart of the Sea,Movie,2015,PG-13,122,"Action, Adventure, Biography",6.9,139010
Lara Croft Tomb Raider: The Cradle of Life,Movie,2003,PG-13,117,"Action, Adventure, Fantasy",5.5,138796
Spartacus: Gods of the Arena,TV Show,2011,TV-MA,331,"Action, Adventure, Biography",8.5,137339
The Firm,Movie,1993,R,154,"Drama, Mystery, Thriller",6.8,135029
Spartacus,Movie,1960,PG-13,197,"Adventure, Biography, Drama",7.9,134933
R.I.P.D.,Movie,2013,PG-13,96,"Action, Adventure, Comedy",5.6,133188
The Devil All the Time,Movie,2020,R,138,"Crime, Drama, Thriller",7.1,133166
Bridgerton,TV Show,2020,TV-MA,60,"Drama, History, Romance",7.3,133119
Hush,Movie,2016,R,82,"Horror, Thriller",6.6,132650
Dumbo,Movie,1941,G,64,"Animation, Adventure, Drama",7.2,131896
I Care a Lot,Movie,2020,R,118,"Comedy, Crime, Drama",6.3,131838
Hairspray,Movie,2007,PG,117,"Comedy, Drama, Musical",6.7,130694
Hunt for the Wilderpeople,Movie,2016,PG-13,101,"Adventure, Comedy, Drama",7.8,130345
Triple Frontier,Movie,2019,R,125,"Action, Thriller",6.4,128044
How to Train Your Dragon: The Hidden World,Movie,2019,PG,104,"Animation, Action, Adventure",7.4,127862
The King,Movie,2019,R,140,"Biography, Drama, History",7.3,127673
Murder Mystery,Movie,2019,PG-13,97,"Action, Comedy, Crime",6.0,127206
Black Mirror: Bandersnatch,TV Show,2018,TV-MA,90,"Drama, Fantasy, Mystery",7.1,126454
Love and Monsters,Movie,2020,PG-13,109,"Action, Adventure, Comedy",6.9,126227
Dirty Grandpa,Movie,2016,R,102,Comedy,5.9,124037
Green Room,Movie,2015,R,95,"Crime, Drama, Horror",7.0,123286
The Two Popes,Movie,2019,PG-13,125,"Biography, Comedy, Drama",7.6,123244
Contraband,Movie,2012,R,109,"Action, Crime, Drama",6.4,122880
What Happened to Monday,TV Show,2017,TV-MA,123,"Action, Crime, Fantasy",6.8,122876
This Is England,Movie,2006,Not Rated,101,"Crime, Drama",7.7,122393
Skyscraper,Movie,2018,PG-13,102,"Action, Adventure, Thriller",5.8,122155
The Guilty,Movie,2021,R,90,"Crime, Drama, Thriller",6.3,121907
Escape Room,Movie,2019,PG-13,99,"Action, Adventure, Horror",6.4,121675
Bodyguard,TV Show,2018,TV-MA,60,"Crime, Drama, Thriller",8.1,121426
Cosmos: A Spacetime Odyssey,TV Show,2014,TV-PG,557,Documentary,9.3,121400
